book_title,book_author,book_translator,book_pub_date,book_isbn
눈 떠보니 선진국,박태웅 ,,2021-08-01,9791157845286
나 아직 안 죽었다,김재완 ,,2021-04-02,9791157844906

book_title,book_author,book_translator,book_pub_date,book_isbn
"IT CookBook, 초융합 시대의 멀티미디어와 콘텐츠","김용태 , 박길철 ",,2021-01-05,9791156645092
감으로만 일하던 김 팀장은 어떻게 데이터 좀 아는 팀장이 되었나,"황보현우 , 김철수 ",,2021-08-16,9791157845224
회사에서 바로 통하는  오토캐드 AutoCAD 2022,심미현 ,,2021-07-28,9791162244623
엑셀 함수&수식 바이블 : 실무에 최적화된 엑셀 사용서 (모든 버전 사용 가능),최준선 ,,2020-12-07,9791162243701
"실전 보고서 작성 기술 with 파워포인트, 워드, 한글",홍장표 ,,2020-12-28,9791162243763
일러스트레이터 실무 강의,장보경 ,,2020-12-31,9791162243787
왕초보 판매자도 파워셀러가 되는 네이버 스마트스토어 시작하기,서미진 ,,2020-10-28,9791162243558
맛있는 디자인 포토샵 CC 2021,"윤이사라(포완카) , 김신애 ",,2021-03-03,9791162243985
모션 그래픽&영상 디자인 강의 with 애프터 이펙트(10년차 디자이너에게 1:1로 배우는),장유민 ,,2021-02-25,9791162243992
맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2021,"김덕영 , 심수진 , 윤성우 , 이수정 , 정지원 ",,2021-01-31,9791162243909
맛있는 디자인 애프터 이펙트 CC 2021,이수정 ,,2021-03-03,9791162243978
맛있는 디자인 포토샵&일러스트레이터 CC 2021,"빨간고래(박정아) , 윤이사라(포완카) ",,2021-01-18,9791162243848
맛있는 디자인 일러스트레이터 CC 2021,빨간고래(박정아) ,,2021-03-09,9791162244005
엑셀 데이터 분석 바이블,최준선 ,,2021-04-30,9791162244258
맛있는 디자인 프리미어 프로 CC 2021,"정지원 , 심수진 , 윤성우 , 김덕영 ",,2021-03-12,9791162244029
"IT CookBook, 스마트 시대의 멀티미디어 : 멀티미디어 기본 이론부터 최신 기술 동향까지","김용태 , 박길철 ",,2014-12-15,9791156641476
회사에서 바로 통하는 오토캐드 2017,심미현 ,,2016-07-31,9788968483004
10년차 디자이너에게 1:1로 배우는 일러스트레이터 디자인 강의,장보경(앤하우스) ,,2014-01-08,9788968480768
디자인 굿즈 만들기 with 포토샵&일러스트레이터,김신애 ,,2016-11-01,9788968484766
컨설턴트가 알려주는 보고서 작성의 기술 with 파워포인트,홍장표 ,,2015-07-17,9788968481925
"IT CookBook, 차세대 웹 프로그래밍",홍성용 ,,2017-07-30,9791156643302
"IT CookBook, 기본 개념과 핵심 원리로 배우는 C++ 프로그래밍",김화수 ,,2017-12-22,9791156643647
로고를 활용한 디자인 실무 강의 with 일러스트레이터+포토샵,장보경(앤하우스) ,,2018-03-05,9791162240496
4차 산업혁명 시대의 경영정보시스템,이동훈 ,,2017-08-08,9791156643319
"IT CookBook, 핵심이 보이는 제어공학(개정판)",김성중 ,,2018-02-28,9791156643845
"IT CookBook, 소프트웨어 세상을 여는 컴퓨터 과학",김종훈 ,,2018-01-26,9791156643814
맛있는 디자인 애프터 이펙트 CC 2019,이수정 ,,2019-05-23,9791162241783
NCS를 기반으로 한 직무 기초수학,"이광연 , 조성훈 , 최상일 ",,2018-10-05,9791156644002
4차 산업혁명 시대의 기업 혁신을 위한 비즈니스 프로세스,"정승렬 , 이정규 ",,2018-03-10,9791156643913
"IT CookBook, 멀티미디어 이해와 활용 : 디지털 생활과 연계된 실용 학습","김지현 , 김대영 ",,2013-03-20,9788998756130
쉽고 재미있는 창업회계,"정재권 , 이장희 , 곽종민 ",,2019-08-20,9788946806962
경영조직론,"변상우 , 박형근 ",,2019-08-20,9788946806955
맛있는 디자인 포토샵&일러스트레이터 CC 2021,"빨간고래(박정아) , 윤이사라(포완카) ",,2021-01-18,9791162243848
회사에서 바로 통하는 오토캐드 2015,심미현 ,,2015-02-27,9788968481727
"IT CookBook, 모두를 위한 R 데이터 분석 입문",오세종 ,,2019-08-24,9791156644590
자재 재고관리 이론과 실제,김정 ,,2019-08-25,9788946806993
"IT CookBook, enjoy design 일러스트레이터 CS6","김경진 , 김부치 ",,2014-01-03,9788998756727
맛있는 디자인 일러스트레이터 CC,빨간고래(박정아) ,,2014-10-16,9788968481284
"IT CookBook, 자바스크립트 프로그래밍 입문",윤인성 ,,2016-12-15,9791156642787
모션 그래픽&영상 디자인 강의 with 애프터 이펙트(10년차 디자이너에게 1:1로 배우는),장유민 ,,2021-02-25,9791162243992
"IT CookBook, HTML5 웹 프로그래밍 입문(개정판)",윤인성 ,,2016-12-26,9791156643074
4차 산업혁명 시대를 위한 e-비즈니스 개론(4판),이동훈 ,,2021-03-07,9791156645320
"IT CookBook, 실감나게 배우는 제어공학","한수희 , 이영삼 , 권보규 , 권오규 , 권욱현 ",,2014-01-02,9788998756710
